Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774099542,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774099543,10,,Aggregated,0.000000,0.000000,53,71,71,73,79,94,130,130,130,130,130,33,0,53,53.75134242631523,15.849100003833883,134.27220001176465,177.03030303030303
1774099544,20,,Aggregated,0.000000,0.000000,54,67,71,72,88,94,110,130,130,130,130,90,0,54,52.53350111128788,10.03330000094138,134.27220001176465,291.31111111111113
1774099545,40,,Aggregated,10.000000,0.000000,59,68,73,81,130,150,180,180,180,180,180,178,0,59,61.55865056202499,9.56390000646934,180.4790000023786,382.3370786516854
1774099546,50,,Aggregated,23.500000,0.000000,61,73,91,110,160,190,270,280,280,280,280,284,0,61,74.89995352069612,9.403599993675016,280.6904999888502,548.9084507042254
1774099547,50,,Aggregated,38.333333,0.000000,69,94,120,130,160,180,240,270,280,280,280,407,0,69,82.91455700218961,9.403599993675016,280.6904999888502,677.9213759213759
1774099548,50,,Aggregated,46.000000,0.000000,73,99,120,140,180,200,240,270,280,280,280,523,0,73,88.87921013351486,9.403599993675016,280.6904999888502,859.2848948374761
1774099549,50,,Aggregated,61.800000,0.000000,78,110,130,140,180,210,250,270,310,310,310,627,0,78,92.30549154677644,9.403599993675016,306.8381000048248,1074.6188197767144
1774099550,50,,Aggregated,71.000000,0.000000,88,130,140,160,200,240,270,280,310,310,310,745,0,88,103.30338671119046,9.353499990538694,308.8921000016853,1335.020134228188
1774099551,50,,Aggregated,79.142857,0.000000,95,130,150,160,200,240,260,280,310,310,310,876,0,95,107.09218904079344,9.353499990538694,308.8921000016853,1536.1689497716895
1774099552,50,,Aggregated,83.875000,0.000000,99,130,150,170,200,250,280,300,360,360,360,998,0,99,110.15083627227179,9.353499990538694,361.5499000006821,1744.5290581162324
1774099553,50,,Aggregated,87.000000,0.000000,99,130,150,160,200,250,270,300,340,360,360,1112,0,99,109.87232850687133,9.353499990538694,361.5499000006821,1897.93345323741
1774099554,50,,Aggregated,89.400000,0.000000,100,140,150,170,200,250,280,300,340,360,360,1225,0,100.0,112.5896517547888,9.353499990538694,361.5499000006821,2171.4008163265307
1774099555,50,,Aggregated,100.400000,0.000000,100,130,150,170,200,250,280,300,340,360,360,1340,0,100.0,112.7762734325283,9.353499990538694,361.5499000006821,2301.038805970149
1774099556,50,,Aggregated,107.500000,0.000000,100,140,160,170,210,260,310,370,510,510,510,1434,0,100.0,118.56644469987299,9.353499990538694,510.9605999896303,2560.641562064156
1774099557,50,,Aggregated,111.800000,0.000000,110,140,160,170,210,250,300,360,510,510,510,1551,0,110.0,118.88700631829333,9.353499990538694,510.9605999896303,2827.0793036750483
1774099558,50,,Aggregated,116.800000,0.000000,110,140,160,180,220,250,310,350,510,510,510,1673,0,110.0,120.51861034051268,9.353499990538694,510.9605999896303,3081.7190675433353
1774099559,50,,Aggregated,113.700000,0.000000,110,140,170,180,220,260,310,370,510,510,510,1755,0,110.0,122.87923675192158,9.353499990538694,510.9605999896303,3291.6376068376067
1774099560,50,,Aggregated,114.000000,0.000000,110,140,170,180,220,260,310,360,510,510,510,1882,0,110.0,123.65585175320527,9.210099990013987,510.9605999896303,3497.155154091392
1774099561,50,,Aggregated,113.000000,0.000000,120,150,170,180,230,270,310,360,510,510,510,1993,0,120.0,125.34231615628208,9.210099990013987,510.9605999896303,3754.5750125439035
1774099562,50,,Aggregated,112.000000,0.000000,120,150,170,180,230,270,310,360,490,510,510,2106,0,120.0,125.48122958189822,9.210099990013987,510.9605999896303,3981.0066476733145
1774099563,50,,Aggregated,110.900000,0.000000,110,140,170,180,220,270,310,350,490,510,510,2230,0,110.0,124.02673134504036,9.210099990013987,510.9605999896303,4107.907623318386
1774099564,50,,Aggregated,112.300000,0.000000,110,140,170,180,220,260,310,340,490,510,510,2350,0,110.0,122.9523698294887,9.210099990013987,510.9605999896303,4338.690212765958
1774099565,50,,Aggregated,111.700000,0.000000,110,140,160,180,220,260,310,340,490,510,510,2468,0,110.0,122.70769777115797,9.210099990013987,510.9605999896303,4481.32982171799
1774099566,50,,Aggregated,112.400000,0.000000,110,140,160,180,220,260,310,340,490,510,510,2582,0,110.0,123.17770212984033,9.210099990013987,510.9605999896303,4633.581719597211
1774099567,50,,Aggregated,112.600000,0.000000,110,140,160,180,220,260,310,340,490,510,510,2703,0,110.0,122.87828264865513,9.171099998638965,510.9605999896303,4750.824269330374
